runtime_bin,model,mae,rmse,count
<1 min,LightGBM,2600.8603648718954,4949.487274928316,1741
<1 min,RandomForest,2085.872137109178,5964.658940170226,1741
<1 min,XGBoost,2308.5888456534135,4677.264211632536,1741
1–10 min,LightGBM,2860.952905410749,6280.3352664276845,3016
1–10 min,RandomForest,2297.6082096168893,7644.944007993644,3016
1–10 min,XGBoost,2548.395896458183,6230.496160680873,3016
10–60 min,LightGBM,4016.9068089756543,8284.02814196951,1287
10–60 min,RandomForest,3184.6165713343885,9151.148156208425,1287
10–60 min,XGBoost,3486.503729914359,9212.298244264617,1287
1–6 h,LightGBM,4970.375208900914,9262.133315563122,1458
1–6 h,RandomForest,3953.6553996726966,7132.780294612576,1458
1–6 h,XGBoost,4868.060383188381,10770.93362783801,1458
≥6 h,LightGBM,42639.738965622346,70880.5713370178,300
≥6 h,RandomForest,40179.20629141082,68469.77295627346,300
≥6 h,XGBoost,41111.746862328844,69127.75209001398,300
